code,收盘,上市天,流通市值亿,RPS250,RPS120,MA100,MA300,多头排列,站上20周线,量比20/60,距250日新高%,本轮基地数,距区间高点%,满3基,池,名称,细分行业
301379,18.54,1371.0,42.129681382242694,59.85960433950224,68.92104435357031,22.726,20.20283333333333,True,False,1.1946071349117282,-50.42780748663102,5,-50.42780748663102,True,用户池(2022-08前后上市),天山电子,面板
301267,16.59,1365.0,107.437484091118,39.6936821952776,69.23560868197546,16.5428,18.229666666666667,False,True,1.0686846107943675,-23.300970873786408,1,-39.364035087719294,False,用户池(2022-08前后上市),华厦眼科,医院
688419,34.26,1365.0,39.75265940115154,79.03637523931079,47.37338785781692,51.1357,37.30446666666667,True,False,0.9407749726319671,-56.43992371265099,4,-56.43992371265099,True,用户池(2022-08前后上市),耐科装备,半导体设备
603280,25.78,1364.0,27.923915774077678,33.790682833439696,17.458320226486315,30.287000000000003,34.83016666666667,False,False,0.8553998589963957,-56.62123506646475,3,-56.62123506646475,True,用户池(2022-08前后上市),南方路机,工程机械整机
301359,15.55,1363.0,10.67882939421365,20.516911295469047,40.767536961308586,19.3947,19.989733333333334,False,False,0.9443410887918678,-34.60891505466779,3,-34.60891505466779,True,用户池(2022-08前后上市),东南电子,其他电子
301388,23.13,1363.0,16.828089451341807,5.647734524569241,25.039320541050646,28.881600000000002,30.316733333333335,False,False,0.8850431477528594,-46.433534043538685,3,-46.433534043538685,True,用户池(2022-08前后上市),欣灵电气,配电设备
688432,26.68,1362.0,338.4095863706909,95.66049776643267,98.96193771626297,24.0214,16.346666666666668,True,True,1.1825281689486518,-52.862190812720854,4,-52.862190812720854,True,用户池(2022-08前后上市),有研硅,半导体材料
301396,147.21,1361.0,212.14817387953823,98.72367581365667,98.89902485058194,193.3588,97.65593333333332,True,False,1.0463970894084182,-55.606151990349815,7,-55.606151990349815,True,用户池(2022-08前后上市),宏景科技,行业应用软件
301356,17.29,1358.0,22.1423296783505,58.39183152520741,40.61025479710601,22.4848,21.306366666666666,True,False,1.0295171478364389,-39.37587657784012,3,-39.37587657784012,True,用户池(2022-08前后上市),天振股份,家具
001338,8.92,1356.0,44.737294129687456,22.399489470325463,28.153507392261716,10.9148,11.4321,False,False,0.7626570512379669,-33.43283582089553,3,-33.43283582089553,True,用户池(2022-08前后上市),永顺泰,啤酒
301277,9.82,1356.0,38.518512332721656,9.795788130185066,47.216105693614345,10.623700000000001,12.4509,False,False,1.9608564065559762,-38.854296388542956,1,-43.530764807360555,False,用户池(2022-08前后上市),新天地,原料药
301361,29.17,1356.0,16.334863727032776,46.96873005743459,50.73922617175213,35.3291,34.1404,True,False,0.45841482853049026,-41.390395820775574,2,-41.390395820775574,False,用户池(2022-08前后上市),众智科技,配电设备
