月,全市场数,次新数,全_H250_G100,新_H250_G100,全_H250_G200,新_H250_G200,全_H250_G500,新_H250_G500,全_H500_G100,新_H500_G100,全_H500_G200,新_H500_G200,全_H500_G500,新_H500_G500,全_H750_G100,新_H750_G100,全_H750_G200,新_H750_G200,全_H750_G500,新_H750_G500
2016-05,2417,468,0.08812577575506826,0.06196581196581197,0.015308233347124535,0.010683760683760684,0.0,0.0,0.11874224244931733,0.11538461538461539,0.05337194869673149,0.04700854700854701,0.007447248655357882,0.00641025641025641,0.25527513446421185,0.2564102564102564,0.13570541994207697,0.14316239316239315,0.03847745138601572,0.05555555555555555
2016-06,2437,488,0.07427164546573656,0.0471311475409836,0.011489536315141567,0.00819672131147541,0.0004103405826836274,0.0,0.11981945014361921,0.10245901639344263,0.05416495691423882,0.045081967213114756,0.008617152236356175,0.014344262295081968,0.23594583504308575,0.22950819672131148,0.12022979072630283,0.11475409836065574,0.0344686089454247,0.0471311475409836
2016-07,2494,481,0.066158781074579,0.04781704781704782,0.011627906976744186,0.008316008316008316,0.0008019246190858059,0.0,0.12951082598235766,0.12058212058212059,0.05533279871692061,0.05405405405405406,0.009623095429029671,0.014553014553014554,0.23937449879711306,0.2390852390852391,0.1218925421010425,0.12681912681912683,0.034482758620689655,0.05197505197505198
2016-08,2532,458,0.054502369668246446,0.04148471615720524,0.007503949447077409,0.004366812227074236,0.0,0.0,0.11966824644549763,0.1222707423580786,0.053712480252764615,0.05895196506550218,0.008293838862559242,0.015283842794759825,0.2231437598736177,0.22270742358078602,0.11374407582938388,0.12663755458515283,0.0315955766192733,0.05240174672489083
2016-09,2554,445,0.052858261550509,0.051685393258426963,0.007830853563038372,0.008988764044943821,0.0,0.0,0.12490211433046201,0.13707865168539327,0.05794831636648395,0.07191011235955057,0.011354737666405637,0.020224719101123594,0.22670321064996085,0.23820224719101124,0.11942051683633516,0.13258426966292136,0.03249804228660924,0.056179775280898875
2016-10,2596,440,0.04198767334360555,0.02727272727272727,0.005778120184899846,0.00909090909090909,0.0,0.0,0.11979969183359014,0.125,0.0573959938366718,0.06818181818181818,0.00963020030816641,0.013636363636363636,0.21263482280431434,0.22045454545454546,0.10939907550077041,0.11818181818181818,0.030046224961479198,0.045454545454545456
2016-11,2616,432,0.03746177370030581,0.034722222222222224,0.0045871559633027525,0.006944444444444444,0.0,0.0,0.12308868501529052,0.13425925925925927,0.06039755351681957,0.06712962962962964,0.014143730886850153,0.016203703703703703,0.20642201834862386,0.2037037037037037,0.10397553516819572,0.10648148148148148,0.029434250764525993,0.04861111111111111
2016-12,2675,440,0.04373831775700934,0.04318181818181818,0.0067289719626168224,0.00909090909090909,0.0,0.0,0.1405607476635514,0.16590909090909092,0.07065420560747664,0.07272727272727272,0.016074766355140185,0.01818181818181818,0.23102803738317756,0.23636363636363636,0.11401869158878504,0.1159090909090909,0.031401869158878506,0.04772727272727273
2017-01,2733,426,0.043175997072813756,0.04929577464788732,0.006586169045005488,0.009389671361502348,0.00036589828027808267,0.0,0.15550676911818515,0.1784037558685446,0.07574094401756312,0.07746478873239436,0.019758507135016465,0.018779342723004695,0.24259055982436883,0.24413145539906103,0.11891694109037687,0.12910798122065728,0.03402854006586169,0.051643192488262914
2017-02,2740,413,0.033576642335766425,0.03631961259079903,0.0036496350364963502,0.002421307506053269,0.0,0.0,0.13978102189781022,0.16464891041162227,0.06861313868613139,0.0774818401937046,0.017153284671532848,0.01937046004842615,0.22116788321167882,0.22760290556900725,0.1072992700729927,0.1234866828087167,0.029562043795620437,0.053268765133171914
