年,未破,持有日,A实收,A峰值,B实收,B峰值,C实收,再创新高
2022,False,24,-0.13183949973944764,-0.016675351745700895,-0.1631057842626369,0.17404898384575307,-0.11412193850964047,True
2023,False,18,-0.11737943585077348,0.025022747952684332,-0.3252957233848953,0.025022747952684332,-0.09326660600545955,False
2015,False,20,-0.07692307692307687,0.007857733664185407,0.22663358147229107,0.5723738626964434,-0.14350703060380476,True
2015,False,17,-0.2527617043661231,-0.06864807995791711,-0.4363492898474488,-0.06864807995791711,-0.3953182535507629,False
2017,False,51,0.0010522623640827344,0.1581901087337776,-0.3090143809189758,0.1581901087337776,0.15222728867064195,False
2019,False,14,-0.06499261447562776,0.015263417035942917,0.9699655342195963,1.2442146725750862,0.23929098966026596,True
2021,False,28,-0.09759635308744308,0.10443431413178605,-0.5037297969332781,0.13489432242022392,-0.2778698715292167,True
2022,False,16,-0.24958919116304545,-0.07230235530399853,-0.6220558700018258,-0.07230235530399853,-0.2744203030856308,False
2014,False,49,0.6635647816750176,1.0794559770937724,0.2806012884753042,1.5411596277738009,0.304939155332856,True
2015,False,18,-0.12453967191161708,0.18848342818881814,-0.4137931034482758,0.18848342818881814,-0.224305323066622,False
2017,False,44,-0.005617977528089901,0.10018726591760307,-0.39232209737827717,0.17181647940074907,-0.08239700374531822,True
2019,False,40,-0.15443592552026297,0.049288061336254074,-0.22891566265060248,0.049288061336254074,-0.21467688937568463,False
2023,False,19,-0.07678244972577697,0.014625228519195677,-0.32632541133455206,0.014625228519195677,-0.15265082266910424,False
2016,False,34,-0.07068803016022618,0.04241281809613584,-0.5249764373232799,0.04241281809613584,-0.26484448633364743,False
2019,False,15,-0.10334788937409023,0.12227074235807867,-0.38136826783114997,0.12227074235807867,-0.3580786026200873,False
2020,False,33,-0.11417322834645671,0.007874015748031482,-0.015748031496062964,0.08267716535433078,-0.1692913385826772,False
2021,False,45,-0.016949152542372947,0.05084745762711873,-0.07838983050847459,0.1991525423728815,-0.1716101694915253,True
2022,False,45,-0.06754221388367732,0.06191369606003749,-0.3714821763602252,0.06191369606003749,-0.1238273921200751,False
2014,False,3,-0.08910891089108908,-0.03300330033003285,0.9356435643564358,3.0,1.0973597359735976,True
2019,False,22,-0.09736842105263155,0.06184210526315792,-0.16052631578947363,0.5092105263157896,-0.338157894736842,True
2019,False,33,-0.02966625463535233,0.395550061804697,-0.25216316440049447,0.4177997527812114,-0.15698393077873918,True
2020,False,32,-0.23421052631578942,0.006140350877193113,-0.4982456140350877,0.006140350877193113,-0.45000000000000007,False
2022,False,13,-0.10176991150442483,-0.020648967551622488,0.21238938053097356,0.3849557522123894,-0.14896755162241893,True
2023,False,12,-0.2321618743343984,-0.10010649627263057,-0.027689030883919052,0.19808306709265167,-0.3503727369542067,True
2014,False,103,0.7136752136752136,1.2478632478632479,0.6730769230769231,1.433760683760684,1.034188034188034,True
2016,False,11,-0.10295857988165669,-0.011834319526627168,-0.2792899408284023,0.4792899408284026,0.17159763313609488,True
2021,False,21,-0.11092150170648474,-0.011945392491467643,0.3549488054607508,0.47098976109214985,0.0921501706484642,True
2022,False,7,-0.1485849056603774,0.01650943396226401,-0.4221698113207547,0.01650943396226401,-0.25943396226415094,False
2014,False,26,-0.02995391705069117,0.13824884792626735,0.37557603686635943,2.746543778801844,0.2834101382488481,True
2020,False,35,-0.11286681715575608,0.018058690744920947,-0.05191873589164775,0.43115124153498874,-0.018058690744921058,True
2023,False,26,-0.017316017316017285,0.051948051948051965,-0.025974025974025983,0.2683982683982684,0.07359307359307365,True
2020,False,12,-0.11764705882352933,0.09640522875816981,-0.13888888888888895,0.49183006535947715,0.3055555555555556,True
2021,False,9,-0.14161849710982655,-0.020231213872832332,-0.06358381502890165,0.0014450867052022698,-0.18641618497109824,False
2023,False,38,0.0015673981191222097,0.0862068965517242,0.03291536050156729,0.21943573667711602,-0.056426332288401326,False
2014,False,41,-0.031023784901758056,0.061013443640124176,0.5129265770423992,4.472595656670114,0.312306101344364,True
2017,False,23,-0.22629521016617793,-0.047898338220918935,-0.386119257086999,-0.047898338220918935,-0.28494623655913975,False
2019,False,14,-0.1287613715885234,-0.013296011196640922,-0.11896431070678792,0.1784464660601821,-0.0958712386284114,True
2020,False,27,-0.06984785615491018,0.16459197786998603,-0.21715076071922546,0.16459197786998603,-0.2544951590594745,False
2014,False,42,0.051401869158878455,0.17523364485981308,0.10046728971962615,0.9922118380062304,0.8395638629283491,True
2017,False,30,-0.06066176470588236,0.001225490196078427,0.690563725490196,1.2432598039215685,0.3756127450980391,True
2019,False,11,-0.13729977116704806,0.09578293559986939,-0.15102974828375293,0.6426936907486107,-0.04445897352075845,True
