# §61 判定:三条全中年化 +10.37%,但 300 次随机对照 p=0.16,与随机无法区分;本表是状态频率统计,不是买点,不构成投资建议。
月份,t,代码,调整天数,深度,缩量比,收敛比
2015-12,726,000801,54,0.2728395061728395,0.5255846630234935,0.5254237288135591
2015-12,726,000099,59,0.25326215895610915,0.6883478824266591,0.456129974308264
2015-12,726,601890,50,0.2543391188251002,0.5293180199649221,0.30060934326337163
2015-12,726,600611,37,0.26206896551724135,0.41755315314787766,0.4517554628038301
2015-12,726,600276,43,0.09730069052102941,0.6333450313874295,0.4220942785174523
2015-12,726,600613,29,0.2507412113511224,0.37707978021339583,0.47598627787307035
2015-12,726,600278,37,0.19818799546998866,0.49216401470299365,0.3684026341742755
2015-12,726,002023,55,0.2572859744990893,0.5305579299704063,0.3342527449099244
2015-12,726,002157,88,0.4423337856173677,0.49197611936264246,0.3620546497584541
2015-12,726,600115,87,0.3600802407221666,0.4018212013119997,0.1982815598149371
2015-12,726,603116,66,0.3203883495145631,0.5079822524811921,0.2899854227405248
2015-12,726,300226,39,0.30696864111498257,0.7228568216121145,0.5089760638297873
2015-12,726,002299,87,0.4213800904977375,0.4465003235273153,0.4969249692496931
2015-12,726,600285,57,0.19042871385842475,0.7269672384672363,0.46578279080505314
2015-12,726,600621,37,0.24801587301587302,0.5218330169761234,0.550433985659604
2015-12,726,603117,44,0.2882378285221887,0.4199126110563344,0.39901321745428203
2015-12,726,603568,28,0.21095484826054767,0.4662268137654887,0.5210140736456528
2015-12,726,600628,36,0.21561969439728368,0.4030058607709012,0.495086803585612
2015-12,726,000410,46,0.2728977805564238,0.6319753861884975,0.44771705701443076
2015-12,726,002037,107,0.460974332111053,0.517785794284735,0.28661170003926195
2015-12,726,000837,45,0.26448497854077246,0.5387378849009234,0.2852892516023192
2015-12,726,601968,49,0.288547664747281,0.44700171639882763,0.4221455198122326
2015-12,726,600481,124,0.4755989352262644,0.7139729216988301,0.3550431688623061
2015-12,726,000419,43,0.18367346938775508,0.6481398443250274,0.5371161607948076
2015-12,726,300380,20,0.1676012461059191,0.6608380855081033,0.5749613601236471
2015-12,726,603589,63,0.3697389451251998,0.5382316890375011,0.5726009730933821
2015-12,726,600307,89,0.41692789968652033,0.47180846685251565,0.16782278949315557
2015-12,726,600639,35,0.21887550200803219,0.37453533512555054,0.43399838542267316
2015-12,726,600963,74,0.35029940119760483,0.5428517168982755,0.313173444560306
2015-12,726,000425,27,0.18421052631578938,0.4843283309463169,0.31291691934505783
2015-12,726,000667,87,0.38541666666666663,0.4322650279880757,0.22128139994355087
2015-12,726,600648,41,0.23482628714943488,0.4870228210778248,0.40096416584055
2015-12,726,600149,46,0.24732905982905984,0.346555873902467,0.38032527345998846
