月,红轴,n_0-1年,0-1年_G100,0-1年_G200,0-1年_G500,n_1-2年,1-2年_G100,1-2年_G200,1-2年_G500,n_2-3年,2-3年_G100,2-3年_G200,2-3年_G500,n_3-5年,3-5年_G100,3-5年_G200,3-5年_G500,n_5-10年,5-10年_G100,5-10年_G200,5-10年_G500,n_>10年,>10年_G100,>10年_G200,>10年_G500
2014-11,1,91,0.26373626373626374,0.08791208791208792,0.01098901098901099,1,,,,137,0.46715328467153283,0.12408759124087591,0.0,533,0.3883677298311445,0.10131332082551595,0.00375234521575985,309,0.3818770226537217,0.07766990291262135,0.0,1113,0.25965858041329737,0.047619047619047616,0.0026954177897574125
2014-12,1,112,0.44642857142857145,0.13392857142857142,0.017857142857142856,2,,,,127,0.5275590551181102,0.16535433070866143,0.007874015748031496,531,0.423728813559322,0.1318267419962335,0.007532956685499058,330,0.3696969696969697,0.09696969696969697,0.006060606060606061,1122,0.22638146167557932,0.054367201426024955,0.0017825311942959
2015-01,1,98,0.3979591836734694,0.12244897959183673,0.02040816326530612,37,0.4594594594594595,0.13513513513513514,0.02702702702702703,120,0.475,0.13333333333333333,0.0,507,0.35502958579881655,0.07297830374753451,0.005917159763313609,351,0.2962962962962963,0.05128205128205128,0.0,1119,0.17247542448614836,0.035746201966041107,0.0017873100983020554
2015-02,1,113,0.46017699115044247,0.11504424778761062,0.008849557522123894,43,0.32558139534883723,0.09302325581395349,0.0,110,0.36363636363636365,0.11818181818181818,0.0,492,0.28252032520325204,0.06300813008130081,0.0020325203252032522,381,0.2178477690288714,0.031496062992125984,0.0026246719160104987,1126,0.14209591474245115,0.02930728241563055,0.0008880994671403197
2015-03,1,136,0.2426470588235294,0.058823529411764705,0.007352941176470588,39,0.1282051282051282,0.05128205128205128,0.0,86,0.16279069767441862,0.05813953488372093,0.0,474,0.1371308016877637,0.03164556962025317,0.0,381,0.08398950131233596,0.013123359580052493,0.0026246719160104987,1097,0.06927985414767548,0.010027347310847767,0.0
2015-04,1,158,0.2088607594936709,0.08860759493670886,0.006329113924050633,39,0.07692307692307693,0.05128205128205128,0.0,75,0.06666666666666667,0.013333333333333334,0.0,446,0.09865470852017937,0.026905829596412557,0.0,411,0.051094890510948905,0.0072992700729927005,0.0024330900243309003,1107,0.02981029810298103,0.0036133694670280035,0.0
2015-05,1,184,0.1358695652173913,0.07608695652173914,0.005434782608695652,38,0.05263157894736842,0.02631578947368421,0.0,59,0.01694915254237288,0.0,0.0,432,0.034722222222222224,0.004629629629629629,0.0,418,0.01674641148325359,0.0023923444976076554,0.0,1083,0.02123730378578024,0.003693444136657433,0.0
2015-06,1,222,0.13513513513513514,0.05405405405405406,0.009009009009009009,41,0.0975609756097561,0.04878048780487805,0.0,38,0.07894736842105263,0.02631578947368421,0.0,427,0.06323185011709602,0.00702576112412178,0.0,421,0.0332541567695962,0.007125890736342043,0.0,1058,0.026465028355387523,0.003780718336483932,0.0
2015-07,1,220,0.05909090909090909,0.004545454545454545,0.0,45,0.17777777777777778,0.06666666666666667,0.0,22,0.13636363636363635,0.045454545454545456,0.0,398,0.13819095477386933,0.032663316582914576,0.002512562814070352,419,0.08591885441527446,0.00954653937947494,0.0,1048,0.07061068702290077,0.011450381679389313,0.0
2015-08,1,211,0.26066350710900477,0.023696682464454975,0.004739336492890996,63,0.2698412698412698,0.06349206349206349,0.0,13,0.3076923076923077,0.15384615384615385,0.0,394,0.2233502538071066,0.04568527918781726,0.0025380710659898475,451,0.18625277161862527,0.026607538802660754,0.004434589800443459,1028,0.12159533073929961,0.029182879377431907,0.0019455252918287938
2015-09,1,206,0.24757281553398058,0.019417475728155338,0.0048543689320388345,73,0.3150684931506849,0.0821917808219178,0.0,5,,,,395,0.2,0.04810126582278481,0.005063291139240506,495,0.1898989898989899,0.03434343434343434,0.00404040404040404,1047,0.15854823304680038,0.03533906399235912,0.0019102196752626551
