snap,days,n_user,n_mine,n_mine_dual,overlap,ret_user_dual,ret_mine,ret_mine_dual,mv_q1,mv_q2,mv_q3,pe_q1,pe_q2,pe_q3
2024-07-06,5,276,473,238,0.717391304347826,0.015043602586715879,0.007947679158869056,0.010982137008315218,0.01619025645009063,0.015183230859067125,0.012741110325340999,-0.001866968098857221,0.007693276573624847,0.03994793346822938
2024-07-14,5,288,475,244,0.7118055555555556,-0.02180517747639097,-0.02665237178566959,-0.027027065704527137,-0.03452217056731892,-0.025318915022865943,-0.00651597139124899,,,
2024-07-21,5,272,474,240,0.6948529411764706,-0.03220690943559087,-0.028737914283207492,-0.028384158548091554,-0.034749407917260805,-0.026913366399540454,-0.035792355600145744,,,
2024-07-26,5,216,474,229,0.6805555555555556,-0.008412411518286655,0.008560201465716042,-7.719677370082843e-05,-0.005614448430011366,-0.0022984327424691105,-0.017841731709322513,0.007696986973060972,-0.013489447459470163,-0.020034812351961896
2024-08-03,5,167,476,222,0.6107784431137725,-0.02378708122045732,-0.023114342411446158,-0.014370258503668923,-0.027137439665290863,-0.026520218227118506,-0.017789556051485057,,,
2024-08-09,5,125,477,228,0.736,0.0026599763449174896,0.0011832269918124684,0.0002298357927157808,0.00623440933693452,-0.003268125236396036,0.005174295349893816,,,
2024-08-16,5,136,478,236,0.8382352941176471,-0.015509996808918246,-0.024251485252416112,-0.01731307369461919,-0.03372282772101118,-0.014787409762005061,0.0020071599774184774,,,
2024-08-23,5,142,478,244,0.7887323943661971,-0.021943341046845224,0.0071175086936487025,0.0042368949066950955,-0.01521969342038142,-0.03162403885399658,-0.01905135775286692,,,
2024-08-30,10,138,476,247,0.7463768115942029,-0.04045148246044909,-0.04830147018884557,-0.04543992299033218,-0.05409725493138079,-0.027422387197050854,-0.03930442161750483,,,
2024-09-15,8,110,478,243,0.7090909090909091,0.10541952482025993,0.1531978511032848,0.14374848537636384,0.10829217039795078,0.0983120894534354,0.10956164862301639,,,
2024-09-29,1,227,480,236,0.7004405286343612,0.1866484702274485,0.18593498363649327,0.18926868318074833,0.20983086936824724,0.18876541090392993,0.1619632762433299,,,
2024-10-05,4,275,477,232,0.72,-0.12600963359844386,-0.14016068009464075,-0.138175492659874,-0.12957828021115705,-0.13437151090690908,-0.11418770548646628,,,
2024-10-11,5,176,480,225,0.7329545454545454,0.04029824015653272,0.07879227931610373,0.05836525835158757,0.047475874082983364,0.06324905963830908,0.012487504813306013,,,
2024-10-19,5,272,478,206,0.7058823529411765,0.011654017341986551,0.03148833773585581,0.001781096213411766,0.022325701875612003,0.027688111461233247,-0.014765438201613334,,,
2024-10-25,5,175,478,201,0.7542857142857143,-0.01604061443031057,-0.02160385138740299,-0.02264628995783809,-0.018685561287859916,-0.009869839277398549,-0.019566442725673247,,,
2024-11-02,5,178,480,209,0.7808988764044944,0.06105205877426837,0.07528216257071633,0.055882785797252074,0.06722231937787422,0.06469465216270825,0.051239204782222665,,,
2024-11-08,5,222,477,189,0.7792792792792793,-0.06580306185945528,-0.05805081801098175,-0.050289520585687,-0.05499989512016324,-0.07126874825724895,-0.07020159443130249,,,
2024-11-15,5,163,479,188,0.8220858895705522,-0.02767971091972229,-0.01937467435615791,-0.02733743355238163,-0.02755240943765869,-0.028719514587613678,-0.027235784885035703,-0.02490312634758275,-0.025137826407756955,-0.03616286264718275
2024-11-23,5,196,481,198,0.7704081632653061,0.03740572541991922,0.018666017819584466,0.02999029087578297,0.042986399515847984,0.036653483143785366,0.03239127113026003,0.0280783544619618,0.029972794507936527,0.04584345824007233
2024-11-30,5,221,481,202,0.7420814479638009,0.0038520597490465597,0.01891164301732134,0.020002893928427253,0.007702721882017384,-0.005098168992647019,0.008951626357769315,0.0007264844674032414,-0.011509043834371027,0.012907826185739999
2024-12-07,5,246,482,195,0.7073170731707317,0.021980813653448332,0.013799224319645476,0.017746477643665576,0.04557120169239394,0.010940177105614103,0.008855686844313912,-0.001826203369292933,0.05769665115215378,0.006888568651051302
2024-12-15,10,249,480,185,0.7108433734939759,-0.007773022186189969,-0.05518960966316322,-0.01423142034925527,-0.02197803188648092,-0.0173530222636418,0.015789196892077195,0.015652101335923162,0.023195127008087003,-0.05288598482259628
