长度,多头占比
278,0.4946236559139785
351,0.3721590909090909
104,0.0
183,0.0
478,0.26931106471816285
302,0.42574257425742573
495,0.4032258064516129
450,0.5831485587583148
500,0.4550898203592814
388,0.23136246786632392
499,0.478
500,0.40119760479041916
500,0.16766467065868262
104,0.0
500,0.4091816367265469
500,0.6027944111776448
461,0.329004329004329
391,0.3877551020408163
500,0.5528942115768463
500,0.5149700598802395
490,0.34826883910386963
500,0.32335329341317365
90,1.0
494,0.591919191919192
365,0.44808743169398907
491,0.4573170731707317
277,0.34532374100719426
453,0.3766519823788546
500,0.42115768463073855
500,0.6207584830339321
500,0.28542914171656686
82,0.8192771084337349
500,0.2774451097804391
499,0.558
492,0.4462474645030426
500,0.1996007984031936
294,0.4
436,0.2288329519450801
48,0.0
477,0.39748953974895396
500,0.48303393213572854
490,0.2973523421588595
499,0.358
475,0.4180672268907563
482,0.8840579710144928
500,0.8642714570858283
480,0.8586278586278586
500,0.09780439121756487
67,0.7941176470588235
500,0.4431137724550898
240,0.5518672199170125
343,0.17732558139534885
235,0.03389830508474576
500,0.5249500998003992
115,0.5689655172413793
500,0.25748502994011974
500,0.36127744510978044
100,1.0
443,0.3130630630630631
494,0.21414141414141413
497,0.5
500,0.19560878243512975
492,0.18864097363083165
394,0.34177215189873417
487,0.6229508196721312
497,0.6104417670682731
404,0.3851851851851852
124,1.0
500,0.7944111776447106
500,0.4151696606786427
494,0.26262626262626265
345,0.29190751445086704
477,0.41422594142259417
