n,事件收益,对照中位,超额pp,年化超额pp,p,轴,段,组,持有,组序
6510,0.08892807633715845,0.09129931089002313,-0.23712345528646844,-0.5424100526191467,0.7960199004975125,S2 市场广度五分位,留出段22-26,Q3 广度,120,2
6510,0.16582904698981457,0.16464879248655712,0.11802545032574552,0.11802545032573164,0.43283582089552236,S2 市场广度五分位,留出段22-26,Q3 广度,250,2
7034,0.018031926221323356,0.017491527218243288,0.05403990030800679,6.402597194393422,0.12437810945273632,S2 市场广度五分位,留出段22-26,Q4 广度,5,3
7034,0.04279931680955193,0.043269001133016245,-0.04696843234643158,-0.9531245039676062,0.6666666666666666,S2 市场广度五分位,留出段22-26,Q4 广度,20,3
7034,0.05313226048487319,0.05422900103097367,-0.10967405461004762,-0.5392679566438296,0.7064676616915423,S2 市场广度五分位,留出段22-26,Q4 广度,60,3
7034,0.12013674530364457,0.11379649456599203,0.6340250737652542,1.4890483258912512,0.024875621890547265,S2 市场广度五分位,留出段22-26,Q4 广度,120,3
7034,0.1331067263729909,0.11343414450031722,1.9672581872673678,1.9672581872673511,0.004975124378109453,S2 市场广度五分位,留出段22-26,Q4 广度,250,3
6114,-0.011513756472522825,-0.013160178272622003,0.16464218000991782,4.48188301637985,0.004975124378109453,S2 市场广度五分位,留出段22-26,Q5 广度,5,4
6114,0.0012630363091794654,-0.0014137010760997956,0.2676737385279261,3.343144760851735,0.03980099502487562,S2 市场广度五分位,留出段22-26,Q5 广度,20,4
6114,0.038746944407326046,0.03531930408092917,0.34276403263968774,1.6024900764144423,0.06467661691542288,S2 市场广度五分位,留出段22-26,Q5 广度,60,4
6114,0.08074497707284076,0.0758549977465102,0.48899793263305624,1.105436294112483,0.06467661691542288,S2 市场广度五分位,留出段22-26,Q5 广度,120,4
6114,0.3648554188340137,0.3520023925406379,1.2853026293375758,1.2853026293375702,0.03980099502487562,S2 市场广度五分位,留出段22-26,Q5 广度,250,4
10691,0.015408156293656253,0.004712622047002221,1.0695534246654033,88.29836534428637,0.004975124378109453,S3 突破周量比五分位,训练段13-21,Q1 量比,5,0
10691,0.03502033879946168,0.017681569557575036,1.7338769241886647,29.272131660510748,0.004975124378109453,S3 突破周量比五分位,训练段13-21,Q1 量比,20,0
10691,0.07665116670818738,0.0545720576584141,2.2079109049773273,11.251754755011723,0.004975124378109453,S3 突破周量比五分位,训练段13-21,Q1 量比,60,0
10691,0.12418900470113074,0.09458482068408737,2.960418401704337,6.901650759395128,0.004975124378109453,S3 突破周量比五分位,训练段13-21,Q1 量比,120,0
10691,0.18630652662286193,0.14492646209465831,4.1380064528203615,4.138006452820342,0.004975124378109453,S3 突破周量比五分位,训练段13-21,Q1 量比,250,0
10899,0.007123568718169543,0.005046571258954063,0.20769974592154805,13.985817290616588,0.004975124378109453,S3 突破周量比五分位,训练段13-21,Q2 量比,5,1
10899,0.024485146236506043,0.020720424620203917,0.3764721616302126,6.085589663790003,0.004975124378109453,S3 突破周量比五分位,训练段13-21,Q2 量比,20,1
10899,0.05801738699316643,0.046666422479574164,1.1350964513592263,5.559034552879227,0.004975124378109453,S3 突破周量比五分位,训练段13-21,Q2 量比,60,1
10899,0.09874879818996475,0.0777861190085182,2.096267918144655,4.786335124054331,0.004975124378109453,S3 突破周量比五分位,训练段13-21,Q2 量比,120,1
10899,0.17105845827006821,0.14671662620338952,2.43418320666787,2.4341832066678837,0.004975124378109453,S3 突破周量比五分位,训练段13-21,Q2 量比,250,1
10948,0.008437854502896735,0.007930386111870778,0.05074683910259569,3.7830542124555055,0.08955223880597014,S3 突破周量比五分位,训练段13-21,Q3 量比,5,2
10948,0.025149812154071288,0.02223348846981414,0.2916323684257146,4.772092163777386,0.004975124378109453,S3 突破周量比五分位,训练段13-21,Q3 量比,20,2
10948,0.0424383841167238,0.04043278716579147,0.20055969509323313,0.9503177805683993,0.12437810945273632,S3 突破周量比五分位,训练段13-21,Q3 量比,60,2
10948,0.07410206081929502,0.06622076374191095,0.7881297077384066,1.7670951861220807,0.004975124378109453,S3 突破周量比五分位,训练段13-21,Q3 量比,120,2
10948,0.13494106392522606,0.11207457225816944,2.2866491667056623,2.2866491667056454,0.004975124378109453,S3 突破周量比五分位,训练段13-21,Q3 量比,250,2
10845,0.008897348419345835,0.010529722816998632,-0.16323743976527968,-13.110273206076117,1.0,S3 突破周量比五分位,训练段13-21,Q4 量比,5,3
10845,0.02060206200433412,0.02664647112615916,-0.6044409121825041,-9.884543983455085,1.0,S3 突破周量比五分位,训练段13-21,Q4 量比,20,3
10845,0.026272093567752456,0.03814590228266318,-1.1873808714910723,-5.4700684849605885,1.0,S3 突破周量比五分位,训练段13-21,Q4 量比,60,3
10845,0.04674423401273477,0.058698456477140885,-1.195422246440612,-2.6330141208661395,1.0,S3 突破周量比五分位,训练段13-21,Q4 量比,120,3
10845,0.08355852412836826,0.10148152934871288,-1.7923005220344623,-1.7923005220344512,1.0,S3 突破周量比五分位,训练段13-21,Q4 量比,250,3
10647,0.0004883391836755377,0.0100073870443699,-0.9519047860694362,-62.05219767375707,1.0,S3 突破周量比五分位,训练段13-21,Q5 量比,5,4
10647,0.0055951063023130234,0.023420406302845746,-1.7825300000532722,-26.336489541199892,1.0,S3 突破周量比五分位,训练段13-21,Q5 量比,20,4
10647,0.005352713288903921,0.034137954160972026,-2.8785240872068107,-12.762860197558258,1.0,S3 突破周量比五分位,训练段13-21,Q5 量比,60,4
10647,0.03950215900017973,0.07648575067551616,-3.698359167533643,-8.190177163477742,1.0,S3 突破周量比五分位,训练段13-21,Q5 量比,120,4
10647,0.05796860059537537,0.11402041894523529,-5.605181834985992,-5.605181834985995,1.0,S3 突破周量比五分位,训练段13-21,Q5 量比,250,4
9047,0.0030917437856934626,-0.0009566952883557228,0.40484390740491855,21.36282580866119,0.004975124378109453,S3 突破周量比五分位,留出段22-26,Q1 量比,5,0
9047,0.020234981398654043,0.012948390174788642,0.7286591223865401,11.008598523027736,0.004975124378109453,S3 突破周量比五分位,留出段22-26,Q1 量比,20,0
9047,0.03555990181421901,0.030135832877166695,0.5424068937052315,2.5036052125223973,0.004975124378109453,S3 突破周量比五分位,留出段22-26,Q1 量比,60,0
9047,0.08355392672177489,0.07105838297555256,1.249554374622233,2.8219428304988137,0.004975124378109453,S3 突破周量比五分位,留出段22-26,Q1 量比,120,0
9047,0.14988241246759407,0.14123312700157564,0.8649285466018425,0.8649285466018508,0.029850746268656716,S3 突破周量比五分位,留出段22-26,Q1 量比,250,0
7872,0.003773407743810044,0.0021538001851039356,0.16196075587061082,9.364061861005645,0.004975124378109453,S3 突破周量比五分位,留出段22-26,Q2 量比,5,1
7872,0.012854429249218195,0.007918556093988956,0.49358731552292395,6.9491672063783705,0.004975124378109453,S3 突破周量比五分位,留出段22-26,Q2 量比,20,1
7872,0.03017746122916485,0.02107428715005255,0.9103174079112298,4.109507593275108,0.004975124378109453,S3 突破周量比五分位,留出段22-26,Q2 量比,60,1
7872,0.0785739543813822,0.061308893041429266,1.7265061339952938,3.8702051136497273,0.004975124378109453,S3 突破周量比五分位,留出段22-26,Q2 量比,120,1
7872,0.1629144124430407,0.13124389369171274,3.1670518751327954,3.167051875132798,0.004975124378109453,S3 突破周量比五分位,留出段22-26,Q2 量比,250,1
