窗口,指标,分档方式,牛股定义,分位,命中率,样本,相对基准倍数,logcap中位
oos,营收增速,原始,120日≥+50%,D10,0.2241805617193939,15773,1.104941536267495,22.332676145765518
oos,营收增速,市值中性,120日≥+50%,D1,0.21900354969574037,15776,1.0794250705453192,22.30908987257216
oos,营收增速,市值中性,120日≥+50%,D2,0.20050713153724248,15775,0.9882598930707523,22.30587699678209
oos,营收增速,市值中性,120日≥+50%,D3,0.19455006337135614,15780,0.9588986852997432,22.298129823472763
oos,营收增速,市值中性,120日≥+50%,D4,0.18381840086234227,15771,0.9060044487590369,22.323903931511772
oos,营收增速,市值中性,120日≥+50%,D5,0.18336184502312614,15783,0.9037541755573539,22.298350281185574
oos,营收增速,市值中性,120日≥+50%,D6,0.19272220109040192,15774,0.9498895145611536,22.309799406263565
oos,营收增速,市值中性,120日≥+50%,D7,0.20095087163232964,15775,0.9904470000108393,22.307115925682915
oos,营收增速,市值中性,120日≥+50%,D8,0.2165314401622718,15776,1.0672405328459653,22.306846565670437
oos,营收增速,市值中性,120日≥+50%,D9,0.2227506182233213,15771,1.0978936283168321,22.303535567389595
oos,营收增速,市值中性,120日≥+50%,D10,0.22217997465145753,15780,1.0950810393032246,22.298738320668537
oos,净利增速,原始,120日≥+50%,D1,0.25386347751805544,12877,1.251242742455589,21.975945472717285
oos,净利增速,原始,120日≥+50%,D2,0.2026250388319354,12876,0.9986986381694433,22.233399815029568
oos,净利增速,原始,120日≥+50%,D3,0.18202997592606973,12877,0.8971896568724077,22.306612756517197
oos,净利增速,原始,120日≥+50%,D4,0.18272889648209986,12877,0.9006344977051088,22.230883333418106
oos,净利增速,原始,120日≥+50%,D5,0.1732277350725988,12879,0.8538051570895736,22.34691646364
oos,净利增速,原始,120日≥+50%,D6,0.15072216182637055,12878,0.7428796491572914,22.607343037923176
oos,净利增速,原始,120日≥+50%,D7,0.15354147250698974,12876,0.7567754724649249,22.703009287516277
oos,净利增速,原始,120日≥+50%,D8,0.1755707407982606,12878,0.8653533677200598,22.703362676832413
oos,净利增速,原始,120日≥+50%,D9,0.189873417721519,12877,0.9358484262171659,22.56231927871704
oos,净利增速,原始,120日≥+50%,D10,0.18499534016775396,12876,0.9118053492217761,22.46359046300252
oos,净利增速,市值中性,120日≥+50%,D1,0.23504738232095695,12874,1.1585019402460688,22.365124490525986
oos,净利增速,市值中性,120日≥+50%,D2,0.19835416504929743,12881,0.9776483481603595,22.392514281802708
