调仓日,排名,代码,名称,复合分,EP,BP,CFP,不复权价,流通市值_亿,是否新进
2021-08-19,15,600603,,0.9794,0.1893,1.4898,0.3441,3.7,46.3,
2021-08-19,16,002124,,0.9794,0.2808,1.1725,0.6381,5.73,88.2,
2021-08-19,17,601577,,0.9784,0.1787,1.3138,0.4439,8.78,87.4,
2021-08-19,18,601988,,0.9782,0.2053,2.0358,0.2465,3.02,6365.8,
2021-08-19,19,002807,,0.9773,0.1309,1.4565,0.9936,3.78,82.0,
2021-08-19,20,601998,,0.9767,0.2081,2.1357,0.235,4.61,1570.6,新
2021-09-16,1,600606,,0.9958,0.2473,1.6264,1.2442,4.57,583.9,
2021-09-16,2,601988,,0.9939,0.2134,2.0136,0.6961,3.05,6420.6,
2021-09-16,3,600376,,0.9937,0.1835,2.0058,1.7033,5.28,136.1,
2021-09-16,4,000656,,0.9924,0.282,1.4493,0.7971,4.58,240.6,
2021-09-16,5,600665,,0.9905,0.1912,1.4992,0.8253,3.23,27.9,新
2021-09-16,6,600016,,0.9903,0.1659,2.7296,0.5277,3.98,1411.2,新
2021-09-16,7,601288,,0.9902,0.2125,1.8654,0.4114,2.97,8875.0,新
2021-09-16,8,000402,,0.9902,0.1539,1.9363,0.8458,6.24,186.4,
2021-09-16,9,002146,,0.99,0.341,2.3823,0.3135,4.78,186.1,新
2021-09-16,10,000069,,0.9887,0.2251,1.3858,0.582,6.66,470.1,
2021-09-16,11,601939,,0.9881,0.1851,1.5451,0.4562,6.05,580.4,新
2021-09-16,12,600325,,0.9879,0.2087,1.2906,3.1717,5.99,126.6,
2021-09-16,13,600382,,0.9863,0.2175,2.0715,0.3074,3.86,30.5,新
2021-09-16,14,600269,,0.9855,0.1534,1.9332,0.3934,3.52,82.2,
2021-09-16,15,601577,,0.9837,0.184,1.3525,0.457,8.53,84.9,
2021-09-16,16,601186,,0.9814,0.1955,1.6736,0.2759,8.54,982.6,
2021-09-16,17,600657,,0.9789,0.1081,2.3468,0.7742,3.51,72.2,
2021-09-16,18,600020,,0.9787,0.1392,1.3934,0.4257,3.39,76.1,新
2021-09-16,19,601658,,0.978,0.1434,1.2237,0.7276,5.23,589.6,新
2021-09-16,20,600028,,0.978,0.1703,1.3609,0.314,4.64,4437.5,
2021-10-25,1,600606,,0.9947,0.2515,1.6543,1.2655,4.49,574.0,
2021-10-25,2,600376,,0.9933,0.1846,2.0178,1.7135,5.24,135.3,
2021-10-25,3,600665,,0.993,0.2137,1.6755,0.9224,2.89,25.0,
2021-10-25,4,601988,,0.9928,0.2116,1.9966,0.6902,3.07,6475.5,
2021-10-25,5,600325,,0.9901,0.2258,1.3963,3.4314,5.54,117.0,
2021-10-25,6,000402,,0.9894,0.1612,2.0282,0.8859,5.96,177.9,
2021-10-25,7,601288,,0.989,0.2125,1.8654,0.4114,2.97,8875.0,
2021-10-25,8,600016,,0.9886,0.1669,2.7476,0.5312,3.95,1402.0,
2021-10-25,9,002146,,0.9885,0.3513,2.4544,0.323,4.64,180.6,
2021-10-25,10,000656,,0.9884,0.2662,1.3684,0.7526,4.85,254.8,
2021-10-25,11,000069,,0.9851,0.2194,1.3506,0.5673,6.84,482.3,
2021-10-25,12,601939,,0.9846,0.1851,1.5451,0.4562,6.05,580.4,
2021-10-25,13,600269,,0.9833,0.155,1.9529,0.3974,3.48,81.4,
2021-10-25,14,601186,,0.983,0.2189,1.8739,0.3089,7.63,877.6,
2021-10-25,15,002314,,0.9801,0.2406,1.2001,0.5034,2.95,39.5,新
2021-10-25,16,600657,,0.978,0.1148,2.4917,0.822,3.31,68.0,
2021-10-25,17,600020,,0.9778,0.1478,1.4789,0.4519,3.19,71.7,
2021-10-25,18,601577,,0.9774,0.1767,1.2989,0.4389,8.89,183.7,
2021-10-25,19,600028,,0.9767,0.1779,1.4215,0.3279,4.45,4248.3,
2021-10-25,20,600533,,0.9757,0.1237,1.439,1.3475,2.93,30.7,新
2021-11-22,1,002146,,0.9971,0.3382,2.7192,0.8284,4.23,164.6,
2021-11-22,2,600606,,0.9949,0.247,1.7968,1.7202,4.13,527.6,
2021-11-22,3,000656,,0.9927,0.3035,1.6092,0.9321,4.18,222.2,
2021-11-22,4,600376,,0.9908,0.1857,2.1542,1.5533,4.7,121.2,
2021-11-22,5,600016,,0.9904,0.1717,2.8488,1.8087,3.9,1383.5,
2021-11-22,6,601988,,0.9903,0.2223,2.0663,0.5228,3.06,6448.1,
2021-11-22,7,600665,,0.9894,0.1999,1.6855,1.2327,2.79,24.1,
2021-11-22,8,600325,,0.9891,0.2467,1.3973,3.54,5.31,112.2,
2021-11-22,9,601998,,0.987,0.232,2.26,0.3837,4.48,1526.2,新
2021-11-22,10,000898,,0.9866,0.2379,1.7493,0.408,3.66,290.6,新
2021-11-22,11,000402,,0.9853,0.1613,2.1698,0.7145,5.64,168.6,
2021-11-22,12,600919,,0.9846,0.1945,1.6338,0.5035,6.07,890.7,新
2021-11-22,13,601288,,0.984,0.2177,1.9448,0.3722,2.94,8796.8,
2021-11-22,14,000069,,0.9838,0.2158,1.521,0.486,6.23,439.4,
2021-11-22,15,601668,,0.9815,0.2671,1.6243,0.3325,4.68,1902.3,新
2021-11-22,16,000877,,0.9809,0.1257,5.7948,2.1765,13.56,119.3,新
2021-11-22,17,002314,,0.9789,0.2241,1.2566,0.5876,2.99,40.0,
2021-11-22,18,601577,,0.9787,0.198,1.527,0.3873,7.83,161.8,
2021-11-22,19,000932,,0.9783,0.2957,1.2712,0.4324,4.96,283.3,新
2021-11-22,20,600382,,0.9779,0.2069,1.6079,0.3343,4.98,39.3,新
2021-12-20,1,002146,,0.9972,0.3311,2.6625,0.8111,4.32,168.2,
2021-12-20,2,600606,,0.9951,0.2406,1.7501,1.6755,4.24,541.7,
2021-12-20,3,000656,,0.9934,0.2903,1.5393,0.8916,4.38,232.4,
2021-12-20,4,600016,,0.9921,0.1723,2.8583,1.8147,3.89,1378.9,
2021-12-20,5,601988,,0.992,0.2232,2.0751,0.525,3.05,6420.6,
2021-12-20,6,600919,,0.989,0.2059,1.7294,0.533,5.73,841.5,
2021-12-20,7,601998,,0.9888,0.23,2.2405,0.3803,4.52,1539.5,
2021-12-20,8,600325,,0.9884,0.2292,1.2981,3.2887,5.72,120.8,
2021-12-20,9,600376,,0.9878,0.1588,1.8424,1.3285,5.5,141.8,
2021-12-20,10,600665,,0.9876,0.1795,1.5129,1.1065,3.11,26.9,
2021-12-20,11,000402,,0.987,0.1584,2.1317,0.7019,5.74,171.6,
2021-12-20,12,601288,,0.9868,0.2177,1.9448,0.3722,2.94,8796.8,
2021-12-20,13,000069,,0.9865,0.2127,1.4989,0.4789,6.32,445.8,
2021-12-20,14,000898,,0.9865,0.2253,1.657,0.3864,3.86,306.8,
2021-12-20,15,601577,,0.983,0.1983,1.5294,0.3879,7.82,161.6,
2021-12-20,16,601668,,0.9821,0.2506,1.5243,0.312,4.99,2027.0,
2021-12-20,17,002314,,0.981,0.2167,1.2155,0.5684,3.09,41.4,
2021-12-20,18,000877,,0.9799,0.1149,5.2961,1.9891,14.84,130.6,
2021-12-20,19,601398,,0.9796,0.1975,1.7158,0.3067,4.61,12421.1,新
2021-12-20,20,000932,,0.9794,0.2781,1.1959,0.4068,5.27,301.2,
2022-01-18,1,002146,,0.997,0.3089,2.4838,0.7567,4.63,180.1,
2022-01-18,2,600606,,0.9949,0.2265,1.6474,1.5772,4.5,575.4,
2022-01-18,3,600016,,0.9929,0.1695,2.8113,1.7849,3.95,1402.0,
2022-01-18,4,601988,,0.9928,0.2176,2.0233,0.5119,3.12,6585.3,
2022-01-18,5,000656,,0.9903,0.2584,1.37,0.7935,4.92,261.1,
2022-01-18,6,601998,,0.9879,0.2193,2.1358,0.3626,4.74,1615.0,
2022-01-18,7,000402,,0.9879,0.1552,2.0876,0.6874,5.86,175.2,
2022-01-18,8,600665,,0.9872,0.1708,1.4395,1.0528,3.27,28.3,
2022-01-18,9,000898,,0.9871,0.2229,1.6387,0.3822,3.9,310.2,
2022-01-18,10,601288,,0.9866,0.2139,1.9108,0.3657,2.99,8953.1,
2022-01-18,11,600376,,0.9856,0.144,1.6706,1.2046,6.06,156.4,
2022-01-18,12,600919,,0.9842,0.1751,1.4711,0.4534,6.74,989.3,
2022-01-18,13,600325,,0.9837,0.2033,1.1515,2.9172,6.44,136.2,
2022-01-18,14,601577,,0.9825,0.1901,1.4657,0.3717,8.16,168.6,
2022-01-18,15,000877,,0.9812,0.1157,5.3311,2.0023,14.74,129.7,
2022-01-18,16,601398,,0.9808,0.1942,1.6872,0.3016,4.68,12631.0,
2022-01-18,17,601668,,0.9799,0.2367,1.4394,0.2947,5.28,2146.6,
2022-01-18,18,601898,,0.9796,0.1634,1.3313,0.4239,6.37,582.6,新
2022-01-18,19,601939,,0.9791,0.193,1.5982,0.292,6.06,581.7,新
2022-01-18,20,000932,,0.978,0.2644,1.1367,0.3866,5.54,316.9,
2022-02-22,1,002146,,0.9973,0.3447,2.7718,0.8444,4.15,161.4,
2022-02-22,2,600606,,0.9946,0.2232,1.6236,1.5544,4.57,583.9,
2022-02-22,3,600016,,0.9927,0.1695,2.8113,1.7849,3.95,1402.0,
2022-02-22,4,601988,,0.9923,0.215,1.9983,0.5056,3.16,6667.6,
2022-02-22,5,000656,,0.9893,0.2505,1.3285,0.7695,5.07,269.2,
2022-02-22,6,600376,,0.9886,0.1533,1.778,1.2821,5.69,146.9,
2022-02-22,7,000402,,0.9882,0.1546,2.0805,0.685,5.88,175.8,
2022-02-22,8,000898,,0.9877,0.2223,1.6343,0.3811,3.91,310.9,
2022-02-22,9,601998,,0.9876,0.2199,2.1417,0.3636,4.73,1610.5,
2022-02-22,10,601288,,0.9867,0.213,1.9025,0.3641,3.0,8992.3,
2022-02-22,11,601963,,0.9838,0.1498,1.3689,1.1691,8.81,60.9,新
2022-02-22,12,600919,,0.9835,0.1724,1.448,0.4463,6.85,1005.0,
2022-02-22,13,600325,,0.983,0.2022,1.1451,2.9011,6.48,137.0,
2022-02-22,14,601577,,0.9828,0.1898,1.4634,0.3712,8.17,168.9,
2022-02-22,15,000877,,0.9811,0.1127,5.1938,1.9507,15.13,133.1,
2022-02-22,16,601398,,0.9796,0.1905,1.6551,0.2959,4.78,12875.9,
2022-02-22,17,601668,,0.9794,0.2316,1.4087,0.2884,5.4,2203.6,
2022-02-22,18,600665,,0.9792,0.149,1.256,0.9186,3.75,32.4,
2022-02-22,19,000069,,0.9792,0.182,1.2829,0.4099,7.38,520.9,新
2022-02-22,20,601939,,0.9774,0.1881,1.5581,0.2846,6.22,596.6,
2022-03-22,1,002146,,0.9976,0.3575,2.8751,0.8759,4.0,155.6,
2022-03-22,2,600606,,0.9948,0.2378,1.7301,1.6563,4.29,547.9,
2022-03-22,3,600016,,0.9935,0.1789,2.9675,1.884,3.75,1328.2,
2022-03-22,4,000656,,0.9918,0.2779,1.4735,0.8535,4.57,242.7,
2022-03-22,5,601988,,0.9904,0.2158,2.0065,0.5077,3.15,6640.1,
2022-03-22,6,000898,,0.989,0.2443,1.7967,0.419,3.56,282.8,
2022-03-22,7,000402,,0.9886,0.161,2.1659,0.7132,5.65,168.9,
2022-03-22,8,601998,,0.988,0.23,2.2405,0.3803,4.52,1539.5,
2022-03-22,9,600376,,0.987,0.1516,1.7587,1.2681,5.76,148.5,
2022-03-22,10,601577,,0.9852,0.2084,1.607,0.4076,7.44,153.8,
2022-03-22,11,601288,,0.9851,0.2139,1.9108,0.3657,2.99,8953.1,
2022-03-22,12,000069,,0.9844,0.2066,1.4562,0.4653,6.5,458.9,
2022-03-22,13,600919,,0.9834,0.1787,1.501,0.4626,6.6,969.6,
2022-03-22,14,601668,,0.9809,0.2468,1.5012,0.3073,5.06,2067.9,
2022-03-22,15,600603,,0.9809,0.1444,1.9864,0.4482,3.6,45.1,新
2022-03-22,16,600325,,0.98,0.1971,1.1164,2.8282,6.65,140.5,
2022-03-22,17,601398,,0.9799,0.1986,1.7255,0.3085,4.58,12351.1,
2022-03-22,18,000932,,0.9794,0.2762,1.1875,0.4039,5.3,303.3,新
2022-03-22,19,601939,,0.9777,0.1946,1.612,0.2945,6.01,576.7,
2022-03-22,20,601963,,0.9772,0.1398,1.2771,1.0907,9.44,65.3,
2022-04-21,1,002146,,0.9983,0.3909,3.1434,0.9577,3.66,142.3,
2022-04-21,2,601077,,0.9961,0.2166,2.2824,0.9362,3.88,227.8,新
2022-04-21,3,600016,,0.9946,0.1922,2.9946,0.9612,3.69,1309.7,
2022-04-21,4,601988,,0.9939,0.2142,1.98,0.8766,3.27,6887.1,
2022-04-21,5,000656,,0.9938,0.3038,1.6108,0.933,4.18,222.1,
2022-04-21,6,600606,,0.9929,0.2154,1.5671,1.5003,4.73,604.9,
2022-04-21,7,000898,,0.9865,0.2091,1.8239,0.3886,3.54,281.1,
2022-04-21,8,601577,,0.9852,0.2032,1.5673,0.3975,7.63,157.7,
2022-04-21,9,600919,,0.9843,0.1682,1.4329,0.6115,7.2,1056.3,
2022-04-21,10,601939,,0.9785,0.195,1.6306,0.2868,6.1,585.4,
2022-04-21,11,600028,,0.978,0.1389,1.5163,0.4393,4.23,4046.0,新
2022-04-21,12,600325,,0.9778,0.1897,1.1322,2.4112,7.06,149.3,
2022-04-21,13,600755,,0.9773,0.1991,1.1935,0.4938,7.53,152.6,新
2022-04-21,14,002807,,0.9771,0.1425,1.4173,0.4559,4.11,89.3,新
2022-04-21,15,000415,,0.9768,0.1819,2.0362,0.2629,2.14,75.9,新
2022-04-21,16,000717,,0.9751,0.2324,1.0953,0.5269,4.04,97.8,新
2022-04-21,17,600623,,0.9742,0.1777,1.2874,0.352,7.82,145.7,新
2022-04-21,18,000959,,0.974,0.2005,1.1435,0.4414,5.38,281.0,新
2022-04-21,19,601288,,0.9738,0.2117,1.9121,0.2215,3.07,9187.7,
