年,筛选器,选中,覆盖牛股,召回率,lift,随机95分位,代码,名称,行业
当前,"RPS60(全市场分位,高)",,,,,,688469,芯联集成-U,电子-半导体
当前,"RPS60(全市场分位,高)",,,,,,688253,英诺特,医药医疗-医疗器械
当前,"RPS60(全市场分位,高)",,,,,,688506,百利天恒,医药医疗-化学制药
当前,"RPS60(全市场分位,高)",,,,,,688362,甬矽电子,电子-半导体
当前,"RPS60(全市场分位,高)",,,,,,301381,赛维时代,商贸-电子商务
当前,"RPS60(全市场分位,高)",,,,,,603373,安邦护卫,社会服务-专业服务
当前,"RPS60(全市场分位,高)",,,,,,688710,益诺思,医药医疗-医疗服务
当前,"RPS60(全市场分位,高)",,,,,,301310,鑫宏业,汽车-汽车零部件
当前,"RPS60(全市场分位,高)",,,,,,688548,广钢气体,电子-电子化学品
当前,"RPS60(全市场分位,高)",,,,,,603049,中策橡胶,汽车-汽车零部件
当前,"RPS60(全市场分位,高)",,,,,,688498,源杰科技,电子-半导体
当前,"RPS60(全市场分位,高)",,,,,,688702,盛科通信-U,电子-半导体
当前,"RPS60(全市场分位,高)",,,,,,688332,中科蓝讯,电子-半导体
当前,"RPS60(全市场分位,高)",,,,,,301376,致欧科技,轻工制造-家居用品
当前,"RPS60(全市场分位,高)",,,,,,688249,晶合集成,电子-半导体
当前,"RPS60(全市场分位,高)",,,,,,301366,一博科技,电子-元器件
当前,"RPS60(全市场分位,高)",,,,,,301321,翰博高新,电子-光学光电
当前,"RPS60(全市场分位,高)",,,,,,603120,肯特催化,化工-化学制品
当前,"RPS60(全市场分位,高)",,,,,,603170,宝立食品,食品饮料-调味品
当前,"RPS60(全市场分位,高)",,,,,,688352,颀中科技,电子-半导体
当前,"RPS60(全市场分位,高)",,,,,,301275,汉朔科技,电子-其他电子
当前,"RPS60(全市场分位,高)",,,,,,603082,北自科技,机械设备-自动化设备
当前,"RPS60(全市场分位,高)",,,,,,001359,平安电工,化工-非金属材料
当前,"RPS60(全市场分位,高)",,,,,,688271,联影医疗,医药医疗-医疗器械
当前,"RPS60(全市场分位,高)",,,,,,301448,开创电气,机械设备-通用设备
当前,"RPS60(全市场分位,高)",,,,,,688147,微导纳米,电力设备-光伏设备
当前,"RPS60(全市场分位,高)",,,,,,688403,汇成股份,电子-半导体
当前,"RPS60(全市场分位,高)",,,,,,601059,信达证券,非银金融-证券
当前,"RPS60(全市场分位,高)",,,,,,001328,登康口腔,化工-日用化工
当前,"RPS60(全市场分位,高)",,,,,,688545,兴福电子,电子-电子化学品
当前,"RPS60(全市场分位,高)",,,,,,601083,锦江航运,交通运输-航运港口
当前,"RPS60(全市场分位,高)",,,,,,601033,永兴股份,环保-环境治理
当前,120日收益(高),,,,,,688146,中船特气,电子-电子化学品
当前,120日收益(高),,,,,,301526,国际复材,建材-玻璃玻纤
当前,120日收益(高),,,,,,301319,唯特偶,电子-电子化学品
当前,120日收益(高),,,,,,301511,德福科技,电力设备-电池
当前,120日收益(高),,,,,,688702,盛科通信-U,电子-半导体
当前,120日收益(高),,,,,,688141,杰华特,电子-半导体
当前,120日收益(高),,,,,,688498,源杰科技,电子-半导体
当前,120日收益(高),,,,,,301373,凌玮科技,化工-化学原料
当前,120日收益(高),,,,,,301377,鼎泰高科,机械设备-通用设备
当前,120日收益(高),,,,,,301165,锐捷网络,通信-通信设备
当前,120日收益(高),,,,,,688432,有研硅,电子-半导体
当前,120日收益(高),,,,,,301396,宏景科技,计算机-软件服务
当前,120日收益(高),,,,,,688549,中巨芯-U,电子-电子化学品
当前,120日收益(高),,,,,,688479,友车科技,计算机-软件服务
当前,120日收益(高),,,,,,603137,恒尚节能,建筑-装修装饰
当前,120日收益(高),,,,,,688530,欧莱新材,电子-半导体
当前,120日收益(高),,,,,,688485,九州一轨,机械设备-轨交设备
当前,120日收益(高),,,,,,301310,鑫宏业,汽车-汽车零部件
当前,120日收益(高),,,,,,688120,华海清科,电子-半导体
当前,120日收益(高),,,,,,001258,立新能源,公用事业-电力
当前,120日收益(高),,,,,,301234,五洲医疗,医药医疗-医疗器械
当前,120日收益(高),,,,,,301273,瑞晨环保,机械设备-通用设备
当前,120日收益(高),,,,,,688361,中科飞测,电子-半导体
