段,变量,阈值,选中,覆盖率,命中率,L2命中,召回,lift_base,lift_ctrl,对照命中,超噪音上界
现代段 2019–2025,rps_60,>=80,4818,0.1979539011463084,0.06060606060606061,0.014113740141137402,0.23624595469255663,1.1934392468373052,1.0831977523034835,0.05595105831523216,False
现代段 2019–2025,rps_60,>=85,3585,0.14729446567237767,0.06248256624825663,0.01394700139470014,0.18122977346278318,1.2303909222623932,1.102370965451105,0.05668016321773127,False
现代段 2019–2025,rps_60,>=90,2349,0.09651177123135708,0.06641123882503193,0.01319710515112814,0.1262135922330097,1.3077533509404953,1.149019846337854,0.05779816513761468,False
现代段 2019–2025,rps_60,>=95,1152,0.047331443362504624,0.0720486111111111,0.010416666666666666,0.06715210355987054,1.4187630629719523,1.1727297008547009,0.06143667296786389,False
现代段 2019–2025,vol_20_pct,>=50分位,12174,0.5001848884506348,0.05988171513060621,0.013964185970100214,0.5898058252427184,1.179175618579146,1.0965322886470596,0.054610079202036435,False
现代段 2019–2025,vol_20_pct,>=60分位,9740,0.40018077981839845,0.05995893223819302,0.013449691991786448,0.47249190938511326,1.1806961583700484,1.0910587581414968,0.054954815027860385,False
现代段 2019–2025,vol_20_pct,>=70分位,7305,0.3001355848637988,0.061738535249828884,0.012594113620807666,0.3648867313915858,1.2157396516550043,1.0975199455304228,0.05625276834489886,False
现代段 2019–2025,vol_20_pct,>=80分位,4872,0.2001725625539258,0.06055008210180624,0.011699507389162561,0.23867313915857605,1.1923369322620243,1.078990658628962,0.05611733671424482,False
现代段 2019–2025,vol_20_pct,>=90分位,2438,0.10016845392168947,0.05906480721903199,0.009023789991796555,0.11650485436893204,1.1630892741941907,1.0061085141762647,0.058706199566743916,False
现代段 2019–2025,above_ma20_share_120,>=50%,10048,0.4128353671062903,0.06090764331210191,0.013335987261146497,0.49514563106796117,1.199377937356997,1.0755568050491404,0.05662894142473409,False
现代段 2019–2025,above_ma20_share_120,>=55%,6490,0.2666502321377214,0.06348228043143297,0.014329738058551618,0.3333333333333333,1.2500770416024654,1.0727891798760867,0.059174982020946135,False
