代码,他,我,他RPS50,我RPS50,我合格
301616,无信号,无信号,47.25363489499193,45.275062296338895,True
301112,无信号,无信号,47.11227786752828,45.121717462142996,True
001255,无信号,无信号,46.82956381260097,44.75752348092774,True
301209,无信号,无信号,46.7891760904685,44.738355376653246,True
688543,无信号,无信号,46.5064620355412,44.470001916810425,True
688244,无信号,无信号,46.42568659127625,44.39332949971248,True
301469,无信号,无信号,46.10258481421648,44.08663983132068,True
001278,无信号,无信号,46.08239095315025,44.06747172704619,True
301598,无信号,无信号,46.02180936995153,44.048303622771705,True
301293,无信号,无信号,45.79967689822294,43.81828637147786,True
301320,无信号,无信号,45.7794830371567,43.799118267203376,True
301331,无信号,无信号,45.65831987075929,43.72244585010542,True
001279,无信号,无信号,45.51696284329564,43.53076480736055,True
603310,无信号,无信号,45.05250403877221,43.18573893041978,True
301267,无信号,无信号,44.97172859450727,42.955721679125936,True
301601,无信号,无信号,44.95153473344104,42.93655357485145,True
301272,无信号,无信号,44.83037156704362,42.87904926202798,True
001391,无信号,无信号,44.7092084006462,42.8598811577535,True
301388,无信号,无信号,44.58804523424879,42.64903201073414,True
688429,无信号,无信号,44.20436187399031,42.28483802951888,True
688132,无信号,无信号,44.16397415185784,42.265669925244396,True
603276,无信号,无信号,43.82067851373183,41.93981215257811,True
301262,无信号,无信号,43.78029079159936,41.86313973548016,True
603257,无信号,无信号,43.76009693053312,41.90147594402914,True
301318,无信号,无信号,43.71970920840064,41.882307839754645,True
001379,无信号,无信号,43.27544426494346,41.44144144144144,True
301192,无信号,无信号,43.23505654281099,41.47977764999042,True
301498,无信号,无信号,42.93214862681744,41.11558366877516,True
603062,无信号,无信号,42.81098546042003,41.00057504312824,True
301456,无信号,无信号,42.36672051696284,40.57887674908952,True
301275,无信号,无信号,42.08400646203554,40.34885949779567,True
300904,无信号,无信号,42.06381260096931,40.253018976423235,True
603400,无信号,无信号,41.45799676898223,39.63963963963964,True
001301,无信号,无信号,40.97334410339257,39.198773241326435,True
301121,无信号,无信号,40.81179321486268,39.04542840713054,True
001299,无信号,无信号,40.04442649434572,38.355376653248996,True
688512,无信号,无信号,39.4184168012924,37.68449300364194,True
301269,无信号,无信号,38.87318255250404,37.20529039677976,True
001326,无信号,无信号,38.8529886914378,37.1477860839563,True
601096,无信号,无信号,38.48949919224556,36.47690243434924,True
001286,无信号,无信号,38.14620355411954,36.496070538623734,True
301225,无信号,无信号,38.10581583198708,36.400230017251296,True
688593,无信号,无信号,37.90387722132472,36.20854897450642,True
603350,无信号,无信号,37.74232633279483,36.13187655740847,True
001256,无信号,无信号,37.72213247172859,36.074372244585014,True
603130,无信号,无信号,37.64135702746365,35.99769982748706,True
301382,无信号,无信号,37.45961227786753,35.7868506804677,True
688653,无信号,无信号,37.35864297253635,35.710178263369755,True
603194,无信号,无信号,37.31825525040387,35.6335058462718,True
301283,无信号,无信号,37.25767366720517,35.595169637722826,True
301251,无信号,无信号,37.15670436187398,35.480161012075904,True
301589,无信号,无信号,36.9951534733441,35.36515238642898,True
301505,无信号,无信号,36.81340872374798,35.09679892658616,True
301567,无信号,无信号,36.77302100161551,35.173471343684106,True
688522,无信号,无信号,36.57108239095315,34.96262219666475,True
301518,无信号,无信号,36.47011308562197,34.866781675292316,True
301378,无信号,无信号,36.44991922455574,34.8859497795668,True
301600,无信号,无信号,36.4297253634895,34.847613571017824,True
603120,无信号,无信号,36.38933764135703,34.809277362468855,True
301289,无信号,无信号,36.26817447495961,34.694268736821925,True
301571,无信号,无信号,36.08642972536349,34.540923902626034,True
301316,无信号,无信号,35.66235864297253,34.119225608587314,True
688648,无信号,无信号,35.50080775444265,34.00421698294039,True
301278,无信号,无信号,35.39983844911147,33.850872148744486,True
603190,无信号,无信号,35.03634894991923,33.525014376078204,True
688061,无信号,无信号,34.99596122778675,33.486678167529234,True
301299,无信号,无信号,34.87479806138934,32.87329883074564,True
001390,无信号,无信号,34.71324717285945,33.29499712478436,True
301617,无信号,无信号,34.67285945072697,33.02664366494154,True
603381,无信号,无信号,34.61227786752828,33.12248418631397,True
688623,无信号,无信号,34.12762520193861,32.60494537090282,True
301330,无信号,无信号,34.10743134087237,32.62411347517731,True
688252,无信号,无信号,33.62277867528272,31.589035844354996,True
301459,无信号,无信号,33.56219709208401,32.12574276404064,True
001300,无信号,无信号,33.23909531502423,31.81905309564884,True
688348,无信号,无信号,33.09773828756058,31.684876365727426,True
301337,无信号,无信号,33.07754442649434,31.66570826145294,True
603004,无信号,无信号,32.97657512116317,31.53153153153153,True
688651,无信号,无信号,32.55250403877221,31.167337550316276,True
301636,无信号,无信号,32.35056542810986,30.91815219474794,True
301595,无信号,无信号,32.16882067851373,30.745639256277553,True
603173,无信号,无信号,31.9264943457189,30.57312631780717,True
300784,无信号,无信号,31.90630048465267,30.534790109258193,True
688576,无信号,无信号,31.56300484652665,30.132259919493965,True
001360,无信号,无信号,31.40145395799677,29.959746981023578,True
301613,无信号,无信号,31.19951534733441,29.844738355376656,True
603275,无信号,无信号,30.91680129240711,29.518880582710374,True
688472,无信号,无信号,30.81583198707593,29.614721104082808,True
301587,无信号,无信号,30.77544426494346,29.46137626988691,True
001268,无信号,无信号,30.69466882067851,29.423040061337936,True
301491,无信号,无信号,30.53311793214863,29.212190914318576,True
001283,无信号,无信号,30.49273021001616,29.173854705769596,True
688583,无信号,无信号,30.41195476575121,29.11635039294614,True
301550,无信号,无信号,30.31098546042003,28.982173663024728,True
603344,无信号,无信号,30.21001615508886,28.924669350201267,True
301372,无信号,无信号,30.12924071082391,28.82882882882883,True
301580,无信号,无信号,30.08885298869144,28.790492620279856,True
603075,无信号,无信号,30.0686591276252,28.73298830745639,True
