观察日,排名,代码,名称,申万一级,距一年低点涨幅,换手加速,流通市值亿,未来60日最大涨幅,启动(>=50%)
2019-02-28,82,603888,新华网,传媒,0.6005,1.1382,35.7,0.5499,True
2019-02-28,83,002074,国轩高科,电力设备,0.6,0.6638,169.9,0.128,False
2019-02-28,84,600192,长城电工,电力设备,0.5965,1.0402,28.1,0.5667,True
2019-02-28,85,601198,东兴证券,非银金融,0.5957,0.7743,363.0,0.1454,False
2019-02-28,86,002456,欧菲光,电子,0.594,0.5881,367.8,0.1418,False
2019-02-28,87,600330,天通股份,有色金属,0.5928,0.9268,78.5,0.1536,False
2019-02-28,88,601231,环旭电子,电子,0.5922,0.7101,279.7,0.2262,False
2019-02-28,89,300130,新国都,计算机,0.5916,0.5909,48.9,0.3578,False
2019-02-28,90,600088,中视传媒,传媒,0.5906,0.8342,43.7,1.2426,True
2019-02-28,91,000725,京东方Ａ,电子,0.5885,1.2894,1373.5,0.0836,False
2019-02-28,92,300420,五洋自控,机械设备,0.5884,0.571,30.8,0.2429,False
2019-02-28,93,000973,佛塑科技,基础化工,0.5771,1.1326,44.8,0.2432,False
2019-02-28,94,300657,弘信电子,电子,0.5752,0.628,26.9,0.2295,False
2019-02-28,95,000678,襄阳轴承,汽车,0.5736,0.5619,31.2,0.5172,True
2019-02-28,96,603063,禾望电气,电力设备,0.5732,0.747,22.5,0.3391,False
2019-02-28,97,300281,金明精机,机械设备,0.5729,0.8832,17.0,0.131,False
2019-02-28,98,600390,五矿资本,非银金融,0.5727,0.9088,51.6,0.1422,False
2019-02-28,99,002139,拓邦股份,电子,0.571,0.6785,42.2,0.2809,False
2019-02-28,100,603363,傲农生物,农林牧渔,0.5668,0.541,21.2,1.4954,True
2019-03-29,1,002565,顺灏股份,轻工制造,4.1752,0.708,125.6,0.1941,False
2019-03-29,2,603000,人民网,传媒,3.1346,1.1695,276.7,0.1755,False
2019-03-29,3,600975,新五丰,农林牧渔,2.4984,0.7796,73.1,0.404,False
2019-03-29,4,002567,唐人神,农林牧渔,2.0591,0.7313,101.9,0.3543,False
2019-03-29,5,000159,国际实业,基础化工,1.9176,1.4321,48.2,0.4405,False
2019-03-29,6,603360,百傲化学,基础化工,1.8616,0.845,23.0,0.1076,False
2019-03-29,7,300220,金运激光,电子,1.8194,1.0027,30.9,0.3344,False
2019-03-29,8,600088,中视传媒,传媒,1.8071,1.2706,77.1,0.1957,False
2019-03-29,9,300079,数码视讯,计算机,1.6702,1.1409,92.5,0.0996,False
2019-03-29,10,300579,数字认证,计算机,1.5562,0.6457,22.0,0.15,False
2019-03-29,11,000859,国风新材,基础化工,1.537,0.8954,49.1,0.2055,False
2019-03-29,12,300536,农尚环境,建筑装饰,1.4892,1.266,12.3,0.2641,False
2019-03-29,13,600621,华鑫股份,房地产,1.4825,0.8721,84.9,0.0854,False
2019-03-29,14,300085,银之杰,计算机,1.4637,1.0344,74.0,0.1417,False
2019-03-29,15,002100,天康生物,农林牧渔,1.433,0.9315,87.0,0.3777,False
2019-03-29,16,300043,星辉娱乐,传媒,1.3564,1.0037,60.8,0.0117,False
2019-03-29,17,000990,诚志股份,基础化工,1.3528,1.6183,100.0,0.2362,False
2019-03-29,18,000876,新 希 望,农林牧渔,1.3452,0.7828,558.4,0.5637,True
2019-03-29,19,600156,华升股份,纺织服饰,1.3441,1.1741,29.6,0.0192,False
2019-03-29,20,600278,东方创业,商贸零售,1.3379,1.0458,88.2,0.0473,False
2019-03-29,21,300139,晓程科技,电子,1.2614,0.947,28.7,0.126,False
2019-03-29,22,000066,中国长城,计算机,1.243,1.0622,263.3,0.0764,False
2019-03-29,23,000727,冠捷科技,电子,1.2033,0.8152,79.6,0.048,False
2019-03-29,24,000810,创维数字,家用电器,1.1875,0.8999,110.9,0.0667,False
2019-03-29,25,600155,华创云信,非银金融,1.179,0.6849,142.8,0.4668,False
2019-03-29,26,300119,瑞普生物,农林牧渔,1.1728,0.7314,27.1,0.8393,True
2019-03-29,27,002191,劲嘉股份,轻工制造,1.1531,1.0546,180.9,0.1584,False
2019-03-29,28,600316,洪都航空,国防军工,1.1429,0.6448,118.1,0.1052,False
2019-03-29,29,300471,厚普股份,机械设备,1.1392,1.0221,29.3,0.7138,True
2019-03-29,30,600268,国电南自,电力设备,1.1378,0.9022,48.4,0.0603,False
2019-03-29,31,300370,安控科技,机械设备,1.125,0.9137,35.9,0.1481,False
2019-03-29,32,002177,御银股份,计算机,1.1231,0.9727,42.4,0.4638,False
2019-03-29,33,300446,航天智造,基础化工,1.1144,0.8174,32.8,0.0993,False
2019-03-29,34,000839,国安股份,综合,1.1064,0.9005,233.9,0.0337,False
2019-03-29,35,600728,佳都科技,计算机,1.1056,0.7577,197.5,0.051,False
2019-03-29,36,002265,建设工业,汽车,1.089,0.937,45.7,0.1105,False
2019-03-29,37,601608,中信重工,机械设备,1.089,1.3797,220.8,0.0669,False
2019-03-29,38,601515,衢州东峰,轻工制造,1.0884,1.4128,144.1,0.1257,False
2019-03-29,39,600094,大名城,房地产,1.0828,0.8447,163.8,0.3864,False
2019-03-29,40,600352,浙江龙盛,基础化工,1.0824,0.9591,559.2,0.4714,False
2019-03-29,41,000948,南天信息,计算机,1.0814,0.8491,40.8,0.0399,False
2019-03-29,42,000811,冰轮环境,机械设备,1.0804,0.801,59.3,0.1654,False
2019-03-29,43,600020,中原高速,交通运输,1.0766,0.9261,147.4,-0.0037,False
2019-03-29,44,000716,黑芝麻,食品饮料,1.0672,0.998,33.2,0.1415,False
2019-03-29,45,601890,亚星锚链,国防军工,1.0629,1.0991,66.8,0.2088,False
2019-03-29,46,300686,智动力,电子,1.0579,0.7909,16.4,0.0552,False
2019-03-29,47,300189,神农种业,农林牧渔,1.0491,0.7214,40.8,0.1503,False
2019-03-29,48,002295,精艺股份,有色金属,1.0359,0.8926,26.3,-0.0029,False
2019-03-29,49,002824,和胜股份,有色金属,1.0358,0.9579,12.9,-0.0255,False
2019-03-29,50,000682,东方电子,电力设备,1.0348,1.3619,60.1,0.0856,False
2019-03-29,51,601008,连云港,交通运输,1.0225,1.291,58.3,0.2796,False
2019-03-29,52,600460,士兰微,电子,1.0212,0.798,215.3,0.0907,False
2019-03-29,53,300175,朗源股份,农林牧渔,1.0187,1.0049,29.9,0.1682,False
2019-03-29,54,600171,上海贝岭,电子,1.0139,0.6578,103.2,0.069,False
2019-03-29,55,300171,东富龙,医药生物,1.0102,0.6682,35.5,0.055,False
2019-03-29,56,601555,东吴证券,非银金融,1.0026,0.6635,293.2,0.2157,False
2019-03-29,57,002736,国信证券,非银金融,0.9963,0.7656,1112.3,0.0383,False
2019-03-29,58,600602,云赛智联,计算机,0.9956,0.9463,98.7,0.1779,False
2019-03-29,59,002683,广东宏大,基础化工,0.9935,1.127,82.8,0.1604,False
2019-03-29,60,000686,东北证券,非银金融,0.9912,0.6635,238.7,0.0956,False
2019-03-29,61,002077,大港股份,电子,0.9884,1.0106,36.6,0.4898,False
2019-03-29,62,300538,同益股份,基础化工,0.9868,0.8106,7.9,0.0903,False
2019-03-29,63,000993,闽东电力,公用事业,0.9697,1.1669,30.2,0.1551,False
2019-03-29,64,300559,佳发教育,计算机,0.9584,0.701,37.1,0.067,False
2019-03-29,65,000739,普洛药业,医药生物,0.9518,0.8459,127.7,0.0391,False
2019-03-29,66,603888,新华网,传媒,0.9346,0.7238,43.3,0.2822,False
2019-03-29,67,002655,共达电声,电子,0.9273,0.8706,34.5,0.1415,False
