code,n_big,n_small,ca_factor_首,ca_factor_末,qfq_factor_首,qfq_factor_末,ca_累计倍数,qfq_累计倍数
000651,5,21,1.9177550172006856,0.9958491719315244,0.24802580172008287,0.9958491719315252,0.5192786164028128,4.015103126469969
000652,0,38,1.0023151253801341,1.0000862725545374,0.9374733160038654,1.000086272554537,0.9977762953295238,1.0667890546661847
000655,0,55,0.9953256549615156,0.9989998734402327,0.8838735856297879,0.9989998734402327,1.0036914737004936,1.1302519836345304
000656,3,36,1.1680996960342325,0.9950365297145644,0.2444032376324377,0.9950365297145641,0.8518421270827928,4.07129029612536
000657,0,39,0.991890064010725,0.9831812902698859,0.516171697015213,0.9831812902698858,0.9912200211930493,1.9047562970910212
000659,0,29,1.001849012201948,0.996804574547378,1.001849012201948,0.996804574547378,0.9949648723578786,0.9949648723578786
000661,1,37,0.9168877880485425,0.9983135056924881,0.38988797666681746,0.9983135056924881,1.0888066333801303,2.560513699927727
000662,2,38,0.9935874873238747,0.9860512661354,0.7534768311914015,0.9860512661354,0.9924151408057958,1.3086683296900457
000663,0,41,1.0001087699529991,0.9994580838518327,1.0001087699529991,0.9994580838518327,0.9993493846662328,0.9993493846662328
000665,0,30,1.0173650412009636,1.0000000018353516,0.6833239408851949,1.0000000018353516,0.9829313583007402,1.463434751810286
000666,0,31,0.999242271585311,0.9988589473727933,0.9180586419020764,0.9988589473727933,0.9996163851115811,1.0880121397292346
000667,0,22,0.9919518329223131,0.9998910329128037,0.9524264097450778,0.9998910329128037,1.0080036144165403,1.0498354756672803
000668,0,44,1.0019873047809462,0.9950314811214425,0.9849354172463242,0.9950314811214427,0.9930579722654027,1.010250483126442
000670,2,60,0.3330816752473415,1.0189754180524682,0.3330816752473415,1.0189754180524682,3.059235898509854,3.059235898509854
000671,6,49,0.9277295416110725,1.0000000000000004,0.15315310296928628,1.0,1.0779003525784303,6.5294139042063195
000672,0,42,1.167374957564889,0.9903437211671139,0.5682283871866213,0.9903437211671137,0.8483510073172571,1.7428621017518058
000673,0,38,1.0031068114254813,1.0016358934968197,0.5015534057127407,1.0016358934968197,0.9985336377822305,1.997067275564461
000676,0,34,1.0035112507796828,0.9996288579948075,0.7642196145237016,0.9996288579948075,0.9961311915717348,1.308038735197636
000678,0,35,1.0018548381159749,1.0013393196397076,1.0018548381159749,1.0013393196397076,0.9994854359567332,0.9994854359567332
000679,0,43,1.0080379052325465,0.9921615335937913,0.9116532363734742,0.9921615335937913,0.98425022357161,1.088310219289712
000680,0,35,0.9994319626757391,1.0020721351117343,0.93995869772774,1.0020721351117343,1.0026416730048604,1.0660810283836382
000681,0,64,1.000053327661543,1.000692112974464,0.9863680507927014,1.0006921129744641,1.0006387512498103,1.0145220256984715
000682,0,38,0.9990408992896813,1.001863484925263,0.9497096969673122,1.001863484925263,1.002825295378386,1.0549155053638941
