样本类型,观察日期,股票代码,股票名称,收盘价,统一信号,信号类型,信号理由,首次触发日期,连续确认天数,触发状态,平台信号,周线多头排列,案例展示分层_质量,案例辅助标签_周线五态,距一年低点涨幅,近120日收益,MA20持续度,RPS50,RPS60,RPS250,距一年高点价格差,平台深度,平台缩量比,平台收敛比,R09核心质量分
当日观察,2026-08-28,000938,紫光股份,35.89,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=97.1,2026-07-08,38,持续,无平台信号,True,中,多头趋势,0.5272340425531916,0.49106771915247194,0.5833333333333334,97.10561625455243,96.72225416906268,84.72544470224285,-0.20066815144766148,,,,0.4749133011867396
当日观察,2026-08-28,002536,飞龙股份,53.33,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=91.1,2026-08-21,6,持续,无平台信号,True,低,多头趋势,1.5938715953307394,0.4719845431962464,0.6083333333333333,91.06766340808893,96.68391796051371,90.64191802010828,-0.045974955277280904,,,,0.15462777925136612
当日观察,2026-08-28,300209,行云科技,33.53,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=91.3,2026-08-04,19,持续,无平台信号,True,缺失,多头趋势,5.561643835616438,2.8495981630309988,0.75,91.25934445083381,96.64558175196473,99.92266047950503,-0.1468193384223918,,,,
当日观察,2026-08-28,601678,滨化股份,6.81,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=90.7,2026-08-28,1,新触发,无平台信号,True,中,多头趋势,0.6898263027295284,0.17211703958691915,0.5833333333333334,90.66513321832471,96.26221966647499,89.21113689095128,-0.11558441558441568,,,,0.5179287585060368
当日观察,2026-08-28,600857,宁波中百,20.02,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=95.7,2026-08-17,10,持续,无平台信号,True,中,多头趋势,0.7827248441674086,0.5604053000779423,0.625,95.66800843396588,96.10887483227908,88.65042536736271,-0.11533362792752977,,,,0.3144685659740958
当日观察,2026-08-28,688057,,17.85,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=97.9,2026-08-04,19,持续,无平台信号,True,中,多头趋势,0.5521739130434784,0.3762528912875869,0.6416666666666667,97.92984473835537,95.76384895533832,83.97138437741685,-0.09665991902834004,,,,0.45280002088545224
当日观察,2026-08-28,688222,成都先导,32.86,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=93.0,2026-08-20,7,持续,无平台信号,True,高,多头趋势,0.5376696303228825,0.21748795850314928,0.575,92.96530573126319,95.53383170404447,86.52358855375097,-0.17561465127947817,,,,0.7391739146520225
当日观察,2026-08-28,603228,景旺电子,93.9,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=90.3,2026-08-13,12,持续,无平台信号,True,中,多头趋势,0.8261376896149359,0.5196633759508011,0.6083333333333333,90.32010734138393,95.51466359976997,90.25522041763341,-0.04388555136951422,,,,0.45053354291635483
当日观察,2026-08-28,001230,劲旅环境,22.56,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=94.7,2026-08-11,14,持续,无平台信号,True,缺失,多头趋势,0.5294915254237287,0.15043345232024463,0.5583333333333333,94.65209890741806,95.39965497412307,78.38360402165506,-0.05050505050505061,,,,
当日观察,2026-08-28,002422,,41.75,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=90.7,2026-07-01,43,持续,无平台信号,True,中,多头趋势,0.4685191698909603,0.29537697797083484,0.6583333333333333,90.70346942687368,95.16963772282921,75.63805104408353,-0.18695228821811105,,,,0.6359324328828446
