criterion,window,ctrl_cagr,strat_cagr
D3,oos,0.05986205154137303,0.36206595071392256
D3,oos,0.1193982763387238,0.36206595071392256
D3,oos,0.09203026069639653,0.36206595071392256
D3,oos,0.14412269909396036,0.36206595071392256
D3,oos,0.1998376154168442,0.36206595071392256
D3,oos,0.16118601589592774,0.36206595071392256
D3,oos,0.09634947626281898,0.36206595071392256
D3,oos,0.12329552895796647,0.36206595071392256
D3,oos,0.07459072825628055,0.36206595071392256
D3,oos,0.12437784659089957,0.36206595071392256
D3,oos,0.04805052672012722,0.36206595071392256
D3,oos,0.21623832412523036,0.36206595071392256
D3,oos,0.12373421826556852,0.36206595071392256
D3,oos,0.10753108789273402,0.36206595071392256
D3,oos,0.06239515923559269,0.36206595071392256
D3,oos,0.13416063012583712,0.36206595071392256
D3,oos,0.09116323443119101,0.36206595071392256
D3,oos,0.11026963970259485,0.36206595071392256
D3,oos,0.16617698927808888,0.36206595071392256
D3,oos,0.11204232234480038,0.36206595071392256
D3,oos,0.19099272562459135,0.36206595071392256
D3,oos,0.09983114124069492,0.36206595071392256
D3,oos,0.1239024927690846,0.36206595071392256
