观察日,排名,代码,名称,申万一级,距一年低点涨幅,换手加速,流通市值亿,RPS60,RPS120,RPS250,MA20持续度120日,20日波动率,相对MA250,120日收益率,周线排列,周线已持续周,未来60日最大涨幅,启动(>=50%)
2019-01-31,96,603606,东方电缆,电力设备,0.377,0.5363,48.3,89.2,91.4,97.3,0.683,0.0233,0.1791,0.1329,多头,19.0,0.4745,False
2019-01-31,97,601901,方正证券,非银金融,0.3689,1.1518,502.9,89.3,72.4,82.7,0.383,0.0408,0.0155,-0.0312,空头,39.0,0.3644,False
2019-01-31,98,300322,硕贝德,电子,0.3682,0.3474,38.3,94.0,97.1,95.5,0.633,0.0235,0.0983,0.3026,空头,16.0,0.7289,True
2019-01-31,99,002439,启明星辰,计算机,0.3637,0.1284,137.8,86.9,97.5,94.6,0.683,0.0218,0.0221,0.3175,空头,22.0,0.4409,False
2019-01-31,100,002404,嘉欣丝绸,纺织服饰,0.3628,0.1181,24.4,92.3,91.8,90.8,0.433,0.0129,0.0196,0.1403,空头,61.0,0.1387,False
2019-02-28,1,002157,正邦科技,农林牧渔,2.2515,0.6367,244.4,99.9,100.0,99.7,0.792,0.0493,1.3884,1.869,多头,4.0,1.0214,True
2019-02-28,2,002733,雄韬股份,电力设备,2.1032,0.5953,76.9,99.9,99.6,98.9,0.625,0.0587,0.9757,1.2589,空头,13.0,0.4876,False
2019-02-28,3,002458,益生股份,农林牧渔,1.9888,0.5423,70.4,99.6,99.3,100.0,0.5,0.0461,0.9814,0.9658,,,0.4739,False
2019-02-28,4,603000,人民网,传媒,1.8654,0.8595,192.8,99.8,99.7,98.6,0.658,0.0458,0.9371,1.2796,空头,106.0,0.8011,True
2019-02-28,5,600218,全柴动力,机械设备,1.6701,1.3021,41.9,99.8,99.3,99.0,0.592,0.0804,0.9201,1.0388,空头,90.0,1.0342,True
2019-02-28,6,002234,民和股份,农林牧渔,1.6534,0.5402,45.1,99.3,99.0,99.9,0.6,0.0495,0.8576,0.8574,多头,23.0,0.6615,True
2019-02-28,7,300033,同花顺,计算机,1.6282,0.9561,200.3,99.1,99.2,97.7,0.6,0.0398,0.7596,0.9548,空头,98.0,0.7397,True
2019-02-28,8,000859,国风新材,基础化工,1.5837,1.6336,49.9,99.8,99.5,98.9,0.467,0.0673,1.0271,1.1489,空头,55.0,0.3449,False
2019-02-28,9,002565,顺灏股份,轻工制造,1.5556,1.8357,62.5,99.6,99.1,97.6,0.467,0.0803,0.8207,0.9045,空头,60.0,1.4181,True
2019-02-28,10,600446,金证股份,计算机,1.3455,0.7945,161.8,99.2,98.7,94.4,0.583,0.0546,0.5727,0.7697,空头,87.0,0.6208,True
2019-02-28,11,300559,佳发教育,计算机,1.2866,0.597,35.4,85.3,75.9,99.7,0.558,0.0351,0.3454,0.1531,多头,42.0,0.1166,False
2019-02-28,12,000862,银星能源,公用事业,1.2535,1.6296,32.0,99.5,99.0,98.0,0.558,0.0721,0.7635,0.8824,空头,11.0,0.3969,False
2019-02-28,13,002746,仙坛股份,农林牧渔,1.2418,0.6724,54.9,98.1,96.0,99.6,0.575,0.0433,0.5867,0.4366,多头,16.0,0.299,False
